Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
9th of February 2020,Skyfire,Paradox,2,0,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72148/skyfire-vs-paradox
9th of February 2020,Ferox,madlikewizards,0,2,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72147/ferox-vs-madlikewizards
9th of February 2020,SHIFT,Akatsuki,2,0,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72146/shift-vs-akatsuki
9th of February 2020,MC,Paradox,14,16,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98484/paradox-vs-mc
9th of February 2020,FURY,madlikewizards,3,16,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98482/madlikewizards-vs-fury
9th of February 2020,Ferox,TRIDENT,16,14,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98483/trident-vs-ferox
9th of February 2020,Skyfire,Incept,16,8,Asia Minor Oceania Open Qualifier 2 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98481/skyfire-vs-incept
9th of February 2020,DivisionX,Akatsuki,2,0,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72141/divisionx-vs-akatsuki
9th of February 2020,Mythic,Faint,16,14,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98478/mythic-vs-faint
9th of February 2020,Orgless,Recon 5,12,16,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98477/orgless-vs-recon-5
9th of February 2020,Divine,Infinity,16,6,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98476/infinity-vs-divine
9th of February 2020,Hot Ass,Rap Gang,3,16,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98475/hot-ass-vs-rap-gang
9th of February 2020,Apeks,SMASH,19,16,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98472/apeks-vs-smash
9th of February 2020,fakemaquinas,GamerLegion,19,17,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98470/gamerlegion-vs-fakemaquinas
8th of February 2020,Endpoint,9INE,16,7,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98469/9ine-vs-endpoint
